old_pecha_text_id,old_mongo_id,old_title,old_language,old_group_id,new_text_id,new_edition_id,new_stem,new_title,match_method,match_confidence,content_ratio,content_divergent,old_n_segments,old_catalog_rank,old_sibling_ids
KwcFAztu5cf9y7sTizsqr,af6b3391-115e-482d-86a6-60e1e263b252,༄༅། །ཞབས་བརྟན་ནུབ་ཕྱོགས་བདེ་ལྡན་མ་བཞུགས་སོ།།,bo,253f4d76-4385-49ea-9b2e-a3bec7db5158,fqNOVGNxalNzYtRDHOUG8,GXB15YTNewESx45CIh0oE,ཞབས་བརྟན་ནུབ་ཕྱོགས་བདེ་ལྡན་མ་བཞུགས་སོ།།,ཞབས་བརྟན་ནུབ་ཕྱོགས་བདེ་ལྡན་མ་བཞུགས་སོ།,content-near-identical,0.9808,0.9808,False,23,,
xskgiwaUBncLdFp1QBtar,1cc7dd3e-eabc-400f-a56a-5c3baf2189bb,འཆི་ཁར་ཕན་པའི་གདམས་ངག་ཉམས་ལེན་གྱི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ།།,bo,999d5c9e-72c1-4e52-9264-937b4ddf96f0,4EHTjydnuy2wS0gTebywS,gMd4OTPBwhwEWfDjGxdBp,འཆི་ཁར་ཕན་པའི་གདམས་ངག་ཉམས་ལེན་གྱི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ།།,འཆི་ཁར་ཕན་པའི་གདམས་ངག་ཉམས་ལེན་གྱི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ།།,content-near-identical,0.9787,0.9787,False,32,,
UvgvNyhXT40rxRMvoRFcm,449dfb22-7893-4bed-9d37-47dc93cb59a6,འཇམ་དཔལ་རྫོགས་པ་ཆེན་པོའི་སྨོན་ལམ།,bo,d04cf676-2893-48fb-8f40-b47eb95e856f,eMiZqknYL6KvN1qavNnc6,h3Ua5YsPEyPdkmeCXxHkL,འཇམ་དཔལ་རྫོགས་པ་ཆེན་པོའི་སྨོན་ལམ།,འཇམ་དཔལ་རྫོགས་པ་ཆེན་པོའི་སྨོན་ལམ།,content-near-identical,0.9996,0.9996,False,82,,
akOjJcqjY1nmCQ39uVqSI,c5855030-d2c8-43a5-b275-9048275c2f20,འཇམ་དབྱངས་ཀྱི་བསྟོད་པ་གང་བློ་མ།,bo,a7447ae3-d794-4667-8b09-0b4109db9c59,UaBLIMnKb9uUTd5XOiFeZ,W3J9N11rkDZFuTMHFUBDl,འཇམ་དབྱངས་ཀྱི་བསྟོད་པ་གང་བློ་མ་བཞུགས་སོ།,འཇམ་དབྱངས་ཀྱི་བསྟོད་པ་གང་བློ་མ་བཞུགས་སོ།,content-identical,1.0,1.0,False,6,11,97gGeH3dzN2GdcXT5qPmI h0449YbvlLSwhi2y0Wpvx dr3oxppHkgomawtVczWaU
wX7T2qtfnCnyil7DS4xP4,8c255cdf-9599-4c91-bc2f-6cb427f3e753,༄༅། །འཇམ་མགོན་བླ་མ་ཙོང་ཁ་པ་ཆེན་པོས་མཛད་པའི་བློ་སྦྱོང་སྙན་ངག་སྒྲ་རྒྱན་བཞུགས་སོ།,bo,1689702c-7d24-4ffd-bf6b-f3770398348c,hBX9CNrdF2C1ieSaXnyVH,3FQn1Eukbg6yY3hHIum40,འཇམ་མགོན་བླ་མ་ཙོང་ཁ་པ་ཆེན་པོས་མཛད་པའི་བློ་སྦྱོང་སྙན་ངག་སྒྲ་རྒྱན་བཞུགས་སོ།,འཇམ་མགོན་བླ་མ་ཙོང་ཁ་པ་ཆེན་པོས་མཛད་པའི་བློ་སྦྱོང་སྙན་ངག་སྒྲ་རྒྱན་བཞུགས་སོ།,content-identical,1.0,1.0,False,110,,
0Bafa6iOSzMVuYAHl2n7p,6ae2962d-ec9f-4537-8c07-5e930e203c8c,འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ལ་བསྟོད་ཅིང་གསོལ་བ་འདེབས་པ་ཕན་བདེའི་ཆར་འབེབས།,bo,12fff250-a65c-4c3c-ba1d-9cbb8cc4f471,Cx2i3PIpnoJPNdWR5LX5w,IjbEBWjEhVnEhJMcxuBqv,འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ལ་བསྟོད་ཅིང་གསོལ་བ་འདེབས་པ་ཕན་བདེའི་ཆར་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ།,འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ལ་བསྟོད་ཅིང་གསོལ་བ་འདེབས་པ་ཕན་བདེའི་ཆར་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ,content-near-identical,0.9987,0.9987,False,29,47,8t0CWe4dz5Mka9j4ZvqDS sAoES2Efx3HrA1xKZ3lpk 9TcjNGMBJdOVi6IGgFV97
z4ZksRsiLcG7gUL9OKQpL,3766f2c4-2deb-47f9-b17f-1f7d73dd9a20,དཀོན་མཆོག་རྗེས་དྲན་གྱི་མདོ།,bo,71fcbfa9-0148-4efd-ad86-d0d141741387,N4loXiCK144VPVHVSJaUG,xdOKmSRBcOgrEBDPaVBRk,འཕགས་པ་དཀོན་མཆོག་གསུམ་རྗེས་སུ་དྲན་པའི་གྱི་མདོ།,༄༅། །འཕགས་པ་དཀོན་མཆོག་གསུམ་རྗེས་སུ་དྲན་པའི་གྱི་མདོ།,content-near-identical,0.9761,0.9761,False,22,9,X3x9igHVS8wqtcTAZmwPM gk0mXQxKi74KaocvEIUus
VxgFTphM5dFGoZfhpNlEp,5fc8fe2b-a988-4bcb-bf5a-e4629d0e9725,འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པའི་ཚིགས་སུ་བཅད་པ།,bo,10fd75c0-401d-45fb-ac73-c429d10f7cba,xC0WW7fOoqcdmEGWzhXnQ,wGkNgIX5V2AqAqnU8wHZe,འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ།,འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ།,content-near-identical,0.9898,0.9898,False,6,25,AoF1aImdVt2W5nzFKi3V2 D4p3S2naTvoU0ps2qx1Lo
Rogfmy9tGcZdAsYfHf5e2,c5dcf7bc-46c9-4de8-a24a-1354595c1f62,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ།,bo,ddf18a7e-4de1-4361-940c-b20e05da95df,HfTEGGmFOf7N5AMd05vq4,MRWJADM7XHzkWre7muf0q,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ།,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ།,content-near-identical,0.9953,0.9953,False,66,8,Bc4nqldQZWbCVOfgo2bDm VhtRx302f83Oe0vHA4xI6 ou2SaVJR4CLuDyiEhqI5n
bVFy2GBR6kjNEGphPd9Md,7dbb203f-a1f4-4994-85ce-89013d18eefd,འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་མཚན་སྔགས།,bo,80ccd1af-2f72-45ee-8378-f83876760ad5,gD6l5DOAFrdYAsarBFUZU,TANXO82qBBta20TzUjBip,འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་མཚན་སྔགས།,འཕགས་པ་སྤྱན་རས་གཟིགས་ཀྱི་མཚན་སྔགས།,content-identical,1.0,1.0,False,9,49,RvRpojtScRxmTyefnnsXM
